,name,player_name,mk_value
0,Lennard Maloney,Lennard Maloney,350000.0
1,Lion Semic,Lion Semic,500000.0
2,Matej Maglica,Matej Maglica,900000.0
3,Marco Meyerhöfer,Marco Meyerhöfer,2000000.0
4,Mike van der Hoorn,Mike van der Hoorn,2500000.0
5,Justin Hoogma,Justin Hoogma,2500000.0
6,Deyovaisio Zeefuik,Deyovaisio Zeefuik,4000000.0
7,Lukas Kübler,Lukas Kübler,2500000.0
8,Rick van Drongelen,Rick van Drongelen,3000000.0
9,Lluís Recasens,Lluís Recasens,150000.0
10,Kacper Urbanski,Kacper Urbanski,200000.0
11,Víctor Gómez,Víctor Gómez,2500000.0
12,Lucas Calodat,Lucas Calodat,150000.0
13,Mamadou Fofana,Mamadou Fofana,3200000.0
14,Sergio Santos,Sergio Santos,250000.0
15,Tom Rothe,Tom Rothe,1200000.0
16,Matthieu Udol,Matthieu Udol,2500000.0
17,Luca Vignali,Luca Vignali,1300000.0
18,Connor Roberts,Connor Roberts,2500000.0
19,Fredrik Björkan,Fredrik Björkan,2500000.0
20,Nick Viergever,Nick Viergever,800000.0
21,CJ Egan-Riley,CJ Egan-Riley,800000.0
22,Vincent Le Goff,Vincent Le Goff,1500000.0
23,Ismaël Traoré,Ismaël Traoré,1500000.0
24,Peter Pekarik,Peter Pekarik,2500000.0
25,Manuel Prietl,Manuel Prietl,1800000.0
26,Robert Gumny,Robert Gumny,3000000.0
27,Jean-Kévin Duverne,Jean-Kévin Duverne,4000000.0
28,Philippe Sandler,Philippe Sandler,2500000.0
29,Karim Azamoum,Karim Azamoum,1500000.0
30,Cédric Hountondji,Cédric Hountondji,3000000.0
31,Rocky Bushiri,Rocky Bushiri,500000.0
32,Mads Roerslev,Mads Roerslev,2500000.0
33,George Bello,George Bello,3000000.0
34,Benno Schmitz,Benno Schmitz,3000000.0
35,Matteo Ruggeri,Matteo Ruggeri,2000000.0
36,Felix Passlack,Felix Passlack,3000000.0
37,Teddy Alloh,Teddy Alloh,400000.0
38,Yohann Magnin,Yohann Magnin,2000000.0
39,Raphael Framberger,Raphael Framberger,2000000.0
40,Joakim Nilsson,Joakim Nilsson,3500000.0
41,Luca Itter,Luca Itter,2000000.0
42,Jacob Barrett Laursen,Jacob Barrett Laursen,1700000.0
43,Abdoulaye Bakayoko,Abdoulaye Bakayoko,300000.0
44,Cédric Brunner,Cédric Brunner,3200000.0
45,Falaye Sacko,Falaye Sacko,4000000.0
46,Jean-Armel Kana-Biyik,Jean-Armel Kana-Biyik,2500000.0
47,Enzo Ebosse,Enzo Ebosse,2000000.0
48,Niels Nkounkou,Niels Nkounkou,3000000.0
49,Mads Pedersen,Mads Pedersen,2000000.0
50,Edo Kayembe,Edo Kayembe,3000000.0
51,Ivan Radovanovic,Ivan Radovanovic,3500000.0
52,Nahuel Tenaglia,Nahuel Tenaglia,3000000.0
53,Kiliann Sildillia,Kiliann Sildillia,1500000.0
54,Nathan de Medina,Nathan de Medina,750000.0
55,Melayro Bogarde,Melayro Bogarde,2500000.0
56,Mihailo Ristic,Mihailo Ristic,3500000.0
57,Yunis Abdelhamid,Yunis Abdelhamid,2500000.0
58,Maximilian Bauer,Maximilian Bauer,1600000.0
59,Martin Valjent,Martin Valjent,4000000.0
60,Vital Nsimba,Vital Nsimba,2500000.0
61,Charlie Goode,Charlie Goode,900000.0
62,Mario Gila,Mario Gila,500000.0
63,Gideon Jung,Gideon Jung,3000000.0
64,Yasser Larouci,Yasser Larouci,2500000.0
65,Akim Zedadka,Akim Zedadka,4000000.0
66,Bosko Sutalo,Bosko Sutalo,3500000.0
67,Max Christiansen,Max Christiansen,2000000.0
68,Deiver Machado,Deiver Machado,1800000.0
69,Jérémy Morel,Jérémy Morel,1000000.0
70,Ricardo Mangas,Ricardo Mangas,1500000.0
71,Thomas Delaine,Thomas Delaine,2000000.0
72,Aridane Hernández,Aridane Hernández,3200000.0
73,Wajdi Kechrida,Wajdi Kechrida,800000.0
74,Toti,Toti,1500000.0
75,Tyronne Ebuehi,Tyronne Ebuehi,1400000.0
